"Layer 0: model.image_newline, Size: torch.Size([5120])"
"Layer 558: model.vision_tower.vision_tower.vision_model.encoder.layers.11.layer_norm2.weight, Size: torch.Size([1024])"
"Layer 559: model.vision_tower.vision_tower.vision_model.encoder.layers.11.layer_norm2.bias, Size: torch.Size([1024])"
"Layer 560: model.vision_tower.vision_tower.vision_model.encoder.layers.12.self_attn.k_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 561: model.vision_tower.vision_tower.vision_model.encoder.layers.12.self_attn.k_proj.bias, Size: torch.Size([1024])"
"Layer 562: model.vision_tower.vision_tower.vision_model.encoder.layers.12.self_attn.v_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 563: model.vision_tower.vision_tower.vision_model.encoder.layers.12.self_attn.v_proj.bias, Size: torch.Size([1024])"
"Layer 564: model.vision_tower.vision_tower.vision_model.encoder.layers.12.self_attn.q_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 565: model.vision_tower.vision_tower.vision_model.encoder.layers.12.self_attn.q_proj.bias, Size: torch.Size([1024])"
"Layer 566: model.vision_tower.vision_tower.vision_model.encoder.layers.12.self_attn.out_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 567: model.vision_tower.vision_tower.vision_model.encoder.layers.12.self_attn.out_proj.bias, Size: torch.Size([1024])"
"Layer 568: model.vision_tower.vision_tower.vision_model.encoder.layers.12.layer_norm1.weight, Size: torch.Size([1024])"
"Layer 569: model.vision_tower.vision_tower.vision_model.encoder.layers.12.layer_norm1.bias, Size: torch.Size([1024])"
"Layer 570: model.vision_tower.vision_tower.vision_model.encoder.layers.12.mlp.fc1.weight, Size: torch.Size([4096, 1024])"
"Layer 571: model.vision_tower.vision_tower.vision_model.encoder.layers.12.mlp.fc1.bias, Size: torch.Size([4096])"
"Layer 572: model.vision_tower.vision_tower.vision_model.encoder.layers.12.mlp.fc2.weight, Size: torch.Size([1024, 4096])"
"Layer 573: model.vision_tower.vision_tower.vision_model.encoder.layers.12.mlp.fc2.bias, Size: torch.Size([1024])"
"Layer 574: model.vision_tower.vision_tower.vision_model.encoder.layers.12.layer_norm2.weight, Size: torch.Size([1024])"
"Layer 575: model.vision_tower.vision_tower.vision_model.encoder.layers.12.layer_norm2.bias, Size: torch.Size([1024])"
"Layer 576: model.vision_tower.vision_tower.vision_model.encoder.layers.13.self_attn.k_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 577: model.vision_tower.vision_tower.vision_model.encoder.layers.13.self_attn.k_proj.bias, Size: torch.Size([1024])"
"Layer 578: model.vision_tower.vision_tower.vision_model.encoder.layers.13.self_attn.v_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 579: model.vision_tower.vision_tower.vision_model.encoder.layers.13.self_attn.v_proj.bias, Size: torch.Size([1024])"
"Layer 580: model.vision_tower.vision_tower.vision_model.encoder.layers.13.self_attn.q_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 581: model.vision_tower.vision_tower.vision_model.encoder.layers.13.self_attn.q_proj.bias, Size: torch.Size([1024])"
"Layer 582: model.vision_tower.vision_tower.vision_model.encoder.layers.13.self_attn.out_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 583: model.vision_tower.vision_tower.vision_model.encoder.layers.13.self_attn.out_proj.bias, Size: torch.Size([1024])"
"Layer 584: model.vision_tower.vision_tower.vision_model.encoder.layers.13.layer_norm1.weight, Size: torch.Size([1024])"
"Layer 585: model.vision_tower.vision_tower.vision_model.encoder.layers.13.layer_norm1.bias, Size: torch.Size([1024])"
"Layer 586: model.vision_tower.vision_tower.vision_model.encoder.layers.13.mlp.fc1.weight, Size: torch.Size([4096, 1024])"
"Layer 587: model.vision_tower.vision_tower.vision_model.encoder.layers.13.mlp.fc1.bias, Size: torch.Size([4096])"
"Layer 588: model.vision_tower.vision_tower.vision_model.encoder.layers.13.mlp.fc2.weight, Size: torch.Size([1024, 4096])"
"Layer 589: model.vision_tower.vision_tower.vision_model.encoder.layers.13.mlp.fc2.bias, Size: torch.Size([1024])"
"Layer 590: model.vision_tower.vision_tower.vision_model.encoder.layers.13.layer_norm2.weight, Size: torch.Size([1024])"
"Layer 591: model.vision_tower.vision_tower.vision_model.encoder.layers.13.layer_norm2.bias, Size: torch.Size([1024])"
"Layer 592: model.vision_tower.vision_tower.vision_model.encoder.layers.14.self_attn.k_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 593: model.vision_tower.vision_tower.vision_model.encoder.layers.14.self_attn.k_proj.bias, Size: torch.Size([1024])"
"Layer 594: model.vision_tower.vision_tower.vision_model.encoder.layers.14.self_attn.v_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 595: model.vision_tower.vision_tower.vision_model.encoder.layers.14.self_attn.v_proj.bias, Size: torch.Size([1024])"
"Layer 596: model.vision_tower.vision_tower.vision_model.encoder.layers.14.self_attn.q_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 597: model.vision_tower.vision_tower.vision_model.encoder.layers.14.self_attn.q_proj.bias, Size: torch.Size([1024])"
"Layer 598: model.vision_tower.vision_tower.vision_model.encoder.layers.14.self_attn.out_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 599: model.vision_tower.vision_tower.vision_model.encoder.layers.14.self_attn.out_proj.bias, Size: torch.Size([1024])"
"Layer 600: model.vision_tower.vision_tower.vision_model.encoder.layers.14.layer_norm1.weight, Size: torch.Size([1024])"
"Layer 601: model.vision_tower.vision_tower.vision_model.encoder.layers.14.layer_norm1.bias, Size: torch.Size([1024])"
"Layer 602: model.vision_tower.vision_tower.vision_model.encoder.layers.14.mlp.fc1.weight, Size: torch.Size([4096, 1024])"
"Layer 603: model.vision_tower.vision_tower.vision_model.encoder.layers.14.mlp.fc1.bias, Size: torch.Size([4096])"
"Layer 604: model.vision_tower.vision_tower.vision_model.encoder.layers.14.mlp.fc2.weight, Size: torch.Size([1024, 4096])"
"Layer 605: model.vision_tower.vision_tower.vision_model.encoder.layers.14.mlp.fc2.bias, Size: torch.Size([1024])"
"Layer 606: model.vision_tower.vision_tower.vision_model.encoder.layers.14.layer_norm2.weight, Size: torch.Size([1024])"
"Layer 607: model.vision_tower.vision_tower.vision_model.encoder.layers.14.layer_norm2.bias, Size: torch.Size([1024])"
"Layer 608: model.vision_tower.vision_tower.vision_model.encoder.layers.15.self_attn.k_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 609: model.vision_tower.vision_tower.vision_model.encoder.layers.15.self_attn.k_proj.bias, Size: torch.Size([1024])"
"Layer 610: model.vision_tower.vision_tower.vision_model.encoder.layers.15.self_attn.v_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 611: model.vision_tower.vision_tower.vision_model.encoder.layers.15.self_attn.v_proj.bias, Size: torch.Size([1024])"
"Layer 612: model.vision_tower.vision_tower.vision_model.encoder.layers.15.self_attn.q_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 613: model.vision_tower.vision_tower.vision_model.encoder.layers.15.self_attn.q_proj.bias, Size: torch.Size([1024])"
"Layer 614: model.vision_tower.vision_tower.vision_model.encoder.layers.15.self_attn.out_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 615: model.vision_tower.vision_tower.vision_model.encoder.layers.15.self_attn.out_proj.bias, Size: torch.Size([1024])"
"Layer 616: model.vision_tower.vision_tower.vision_model.encoder.layers.15.layer_norm1.weight, Size: torch.Size([1024])"
"Layer 617: model.vision_tower.vision_tower.vision_model.encoder.layers.15.layer_norm1.bias, Size: torch.Size([1024])"
"Layer 618: model.vision_tower.vision_tower.vision_model.encoder.layers.15.mlp.fc1.weight, Size: torch.Size([4096, 1024])"
"Layer 619: model.vision_tower.vision_tower.vision_model.encoder.layers.15.mlp.fc1.bias, Size: torch.Size([4096])"
"Layer 620: model.vision_tower.vision_tower.vision_model.encoder.layers.15.mlp.fc2.weight, Size: torch.Size([1024, 4096])"
"Layer 621: model.vision_tower.vision_tower.vision_model.encoder.layers.15.mlp.fc2.bias, Size: torch.Size([1024])"
"Layer 622: model.vision_tower.vision_tower.vision_model.encoder.layers.15.layer_norm2.weight, Size: torch.Size([1024])"
"Layer 623: model.vision_tower.vision_tower.vision_model.encoder.layers.15.layer_norm2.bias, Size: torch.Size([1024])"
"Layer 624: model.vision_tower.vision_tower.vision_model.encoder.layers.16.self_attn.k_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 625: model.vision_tower.vision_tower.vision_model.encoder.layers.16.self_attn.k_proj.bias, Size: torch.Size([1024])"
"Layer 626: model.vision_tower.vision_tower.vision_model.encoder.layers.16.self_attn.v_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 627: model.vision_tower.vision_tower.vision_model.encoder.layers.16.self_attn.v_proj.bias, Size: torch.Size([1024])"
"Layer 628: model.vision_tower.vision_tower.vision_model.encoder.layers.16.self_attn.q_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 629: model.vision_tower.vision_tower.vision_model.encoder.layers.16.self_attn.q_proj.bias, Size: torch.Size([1024])"
"Layer 630: model.vision_tower.vision_tower.vision_model.encoder.layers.16.self_attn.out_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 631: model.vision_tower.vision_tower.vision_model.encoder.layers.16.self_attn.out_proj.bias, Size: torch.Size([1024])"
"Layer 632: model.vision_tower.vision_tower.vision_model.encoder.layers.16.layer_norm1.weight, Size: torch.Size([1024])"
"Layer 633: model.vision_tower.vision_tower.vision_model.encoder.layers.16.layer_norm1.bias, Size: torch.Size([1024])"
"Layer 634: model.vision_tower.vision_tower.vision_model.encoder.layers.16.mlp.fc1.weight, Size: torch.Size([4096, 1024])"
"Layer 635: model.vision_tower.vision_tower.vision_model.encoder.layers.16.mlp.fc1.bias, Size: torch.Size([4096])"
"Layer 636: model.vision_tower.vision_tower.vision_model.encoder.layers.16.mlp.fc2.weight, Size: torch.Size([1024, 4096])"
"Layer 637: model.vision_tower.vision_tower.vision_model.encoder.layers.16.mlp.fc2.bias, Size: torch.Size([1024])"
"Layer 638: model.vision_tower.vision_tower.vision_model.encoder.layers.16.layer_norm2.weight, Size: torch.Size([1024])"
"Layer 639: model.vision_tower.vision_tower.vision_model.encoder.layers.16.layer_norm2.bias, Size: torch.Size([1024])"
"Layer 640: model.vision_tower.vision_tower.vision_model.encoder.layers.17.self_attn.k_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 641: model.vision_tower.vision_tower.vision_model.encoder.layers.17.self_attn.k_proj.bias, Size: torch.Size([1024])"
"Layer 642: model.vision_tower.vision_tower.vision_model.encoder.layers.17.self_attn.v_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 643: model.vision_tower.vision_tower.vision_model.encoder.layers.17.self_attn.v_proj.bias, Size: torch.Size([1024])"
"Layer 644: model.vision_tower.vision_tower.vision_model.encoder.layers.17.self_attn.q_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 645: model.vision_tower.vision_tower.vision_model.encoder.layers.17.self_attn.q_proj.bias, Size: torch.Size([1024])"
"Layer 646: model.vision_tower.vision_tower.vision_model.encoder.layers.17.self_attn.out_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 647: model.vision_tower.vision_tower.vision_model.encoder.layers.17.self_attn.out_proj.bias, Size: torch.Size([1024])"
"Layer 648: model.vision_tower.vision_tower.vision_model.encoder.layers.17.layer_norm1.weight, Size: torch.Size([1024])"
"Layer 649: model.vision_tower.vision_tower.vision_model.encoder.layers.17.layer_norm1.bias, Size: torch.Size([1024])"
"Layer 650: model.vision_tower.vision_tower.vision_model.encoder.layers.17.mlp.fc1.weight, Size: torch.Size([4096, 1024])"
"Layer 651: model.vision_tower.vision_tower.vision_model.encoder.layers.17.mlp.fc1.bias, Size: torch.Size([4096])"
"Layer 652: model.vision_tower.vision_tower.vision_model.encoder.layers.17.mlp.fc2.weight, Size: torch.Size([1024, 4096])"
"Layer 653: model.vision_tower.vision_tower.vision_model.encoder.layers.17.mlp.fc2.bias, Size: torch.Size([1024])"
"Layer 654: model.vision_tower.vision_tower.vision_model.encoder.layers.17.layer_norm2.weight, Size: torch.Size([1024])"
"Layer 655: model.vision_tower.vision_tower.vision_model.encoder.layers.17.layer_norm2.bias, Size: torch.Size([1024])"
"Layer 656: model.vision_tower.vision_tower.vision_model.encoder.layers.18.self_attn.k_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 657: model.vision_tower.vision_tower.vision_model.encoder.layers.18.self_attn.k_proj.bias, Size: torch.Size([1024])"
"Layer 658: model.vision_tower.vision_tower.vision_model.encoder.layers.18.self_attn.v_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 659: model.vision_tower.vision_tower.vision_model.encoder.layers.18.self_attn.v_proj.bias, Size: torch.Size([1024])"
"Layer 660: model.vision_tower.vision_tower.vision_model.encoder.layers.18.self_attn.q_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 661: model.vision_tower.vision_tower.vision_model.encoder.layers.18.self_attn.q_proj.bias, Size: torch.Size([1024])"
"Layer 662: model.vision_tower.vision_tower.vision_model.encoder.layers.18.self_attn.out_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 663: model.vision_tower.vision_tower.vision_model.encoder.layers.18.self_attn.out_proj.bias, Size: torch.Size([1024])"
"Layer 664: model.vision_tower.vision_tower.vision_model.encoder.layers.18.layer_norm1.weight, Size: torch.Size([1024])"
"Layer 665: model.vision_tower.vision_tower.vision_model.encoder.layers.18.layer_norm1.bias, Size: torch.Size([1024])"
"Layer 666: model.vision_tower.vision_tower.vision_model.encoder.layers.18.mlp.fc1.weight, Size: torch.Size([4096, 1024])"
"Layer 667: model.vision_tower.vision_tower.vision_model.encoder.layers.18.mlp.fc1.bias, Size: torch.Size([4096])"
"Layer 668: model.vision_tower.vision_tower.vision_model.encoder.layers.18.mlp.fc2.weight, Size: torch.Size([1024, 4096])"
"Layer 669: model.vision_tower.vision_tower.vision_model.encoder.layers.18.mlp.fc2.bias, Size: torch.Size([1024])"
"Layer 670: model.vision_tower.vision_tower.vision_model.encoder.layers.18.layer_norm2.weight, Size: torch.Size([1024])"
"Layer 671: model.vision_tower.vision_tower.vision_model.encoder.layers.18.layer_norm2.bias, Size: torch.Size([1024])"
"Layer 672: model.vision_tower.vision_tower.vision_model.encoder.layers.19.self_attn.k_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 673: model.vision_tower.vision_tower.vision_model.encoder.layers.19.self_attn.k_proj.bias, Size: torch.Size([1024])"
"Layer 674: model.vision_tower.vision_tower.vision_model.encoder.layers.19.self_attn.v_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 675: model.vision_tower.vision_tower.vision_model.encoder.layers.19.self_attn.v_proj.bias, Size: torch.Size([1024])"
"Layer 676: model.vision_tower.vision_tower.vision_model.encoder.layers.19.self_attn.q_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 677: model.vision_tower.vision_tower.vision_model.encoder.layers.19.self_attn.q_proj.bias, Size: torch.Size([1024])"
"Layer 678: model.vision_tower.vision_tower.vision_model.encoder.layers.19.self_attn.out_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 679: model.vision_tower.vision_tower.vision_model.encoder.layers.19.self_attn.out_proj.bias, Size: torch.Size([1024])"
"Layer 680: model.vision_tower.vision_tower.vision_model.encoder.layers.19.layer_norm1.weight, Size: torch.Size([1024])"
"Layer 681: model.vision_tower.vision_tower.vision_model.encoder.layers.19.layer_norm1.bias, Size: torch.Size([1024])"
"Layer 682: model.vision_tower.vision_tower.vision_model.encoder.layers.19.mlp.fc1.weight, Size: torch.Size([4096, 1024])"
"Layer 683: model.vision_tower.vision_tower.vision_model.encoder.layers.19.mlp.fc1.bias, Size: torch.Size([4096])"
"Layer 684: model.vision_tower.vision_tower.vision_model.encoder.layers.19.mlp.fc2.weight, Size: torch.Size([1024, 4096])"
"Layer 685: model.vision_tower.vision_tower.vision_model.encoder.layers.19.mlp.fc2.bias, Size: torch.Size([1024])"
"Layer 686: model.vision_tower.vision_tower.vision_model.encoder.layers.19.layer_norm2.weight, Size: torch.Size([1024])"
"Layer 687: model.vision_tower.vision_tower.vision_model.encoder.layers.19.layer_norm2.bias, Size: torch.Size([1024])"
"Layer 688: model.vision_tower.vision_tower.vision_model.encoder.layers.20.self_attn.k_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 689: model.vision_tower.vision_tower.vision_model.encoder.layers.20.self_attn.k_proj.bias, Size: torch.Size([1024])"
"Layer 690: model.vision_tower.vision_tower.vision_model.encoder.layers.20.self_attn.v_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 691: model.vision_tower.vision_tower.vision_model.encoder.layers.20.self_attn.v_proj.bias, Size: torch.Size([1024])"
"Layer 692: model.vision_tower.vision_tower.vision_model.encoder.layers.20.self_attn.q_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 693: model.vision_tower.vision_tower.vision_model.encoder.layers.20.self_attn.q_proj.bias, Size: torch.Size([1024])"
"Layer 694: model.vision_tower.vision_tower.vision_model.encoder.layers.20.self_attn.out_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 695: model.vision_tower.vision_tower.vision_model.encoder.layers.20.self_attn.out_proj.bias, Size: torch.Size([1024])"
"Layer 696: model.vision_tower.vision_tower.vision_model.encoder.layers.20.layer_norm1.weight, Size: torch.Size([1024])"
"Layer 697: model.vision_tower.vision_tower.vision_model.encoder.layers.20.layer_norm1.bias, Size: torch.Size([1024])"
"Layer 698: model.vision_tower.vision_tower.vision_model.encoder.layers.20.mlp.fc1.weight, Size: torch.Size([4096, 1024])"
"Layer 699: model.vision_tower.vision_tower.vision_model.encoder.layers.20.mlp.fc1.bias, Size: torch.Size([4096])"
"Layer 700: model.vision_tower.vision_tower.vision_model.encoder.layers.20.mlp.fc2.weight, Size: torch.Size([1024, 4096])"
"Layer 701: model.vision_tower.vision_tower.vision_model.encoder.layers.20.mlp.fc2.bias, Size: torch.Size([1024])"
"Layer 702: model.vision_tower.vision_tower.vision_model.encoder.layers.20.layer_norm2.weight, Size: torch.Size([1024])"
"Layer 703: model.vision_tower.vision_tower.vision_model.encoder.layers.20.layer_norm2.bias, Size: torch.Size([1024])"
"Layer 704: model.vision_tower.vision_tower.vision_model.encoder.layers.21.self_attn.k_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 705: model.vision_tower.vision_tower.vision_model.encoder.layers.21.self_attn.k_proj.bias, Size: torch.Size([1024])"
"Layer 706: model.vision_tower.vision_tower.vision_model.encoder.layers.21.self_attn.v_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 707: model.vision_tower.vision_tower.vision_model.encoder.layers.21.self_attn.v_proj.bias, Size: torch.Size([1024])"
"Layer 708: model.vision_tower.vision_tower.vision_model.encoder.layers.21.self_attn.q_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 709: model.vision_tower.vision_tower.vision_model.encoder.layers.21.self_attn.q_proj.bias, Size: torch.Size([1024])"
"Layer 710: model.vision_tower.vision_tower.vision_model.encoder.layers.21.self_attn.out_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 711: model.vision_tower.vision_tower.vision_model.encoder.layers.21.self_attn.out_proj.bias, Size: torch.Size([1024])"
"Layer 712: model.vision_tower.vision_tower.vision_model.encoder.layers.21.layer_norm1.weight, Size: torch.Size([1024])"
"Layer 713: model.vision_tower.vision_tower.vision_model.encoder.layers.21.layer_norm1.bias, Size: torch.Size([1024])"
"Layer 714: model.vision_tower.vision_tower.vision_model.encoder.layers.21.mlp.fc1.weight, Size: torch.Size([4096, 1024])"
"Layer 715: model.vision_tower.vision_tower.vision_model.encoder.layers.21.mlp.fc1.bias, Size: torch.Size([4096])"
"Layer 716: model.vision_tower.vision_tower.vision_model.encoder.layers.21.mlp.fc2.weight, Size: torch.Size([1024, 4096])"
"Layer 717: model.vision_tower.vision_tower.vision_model.encoder.layers.21.mlp.fc2.bias, Size: torch.Size([1024])"
"Layer 718: model.vision_tower.vision_tower.vision_model.encoder.layers.21.layer_norm2.weight, Size: torch.Size([1024])"
"Layer 719: model.vision_tower.vision_tower.vision_model.encoder.layers.21.layer_norm2.bias, Size: torch.Size([1024])"
"Layer 720: model.vision_tower.vision_tower.vision_model.encoder.layers.22.self_attn.k_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 721: model.vision_tower.vision_tower.vision_model.encoder.layers.22.self_attn.k_proj.bias, Size: torch.Size([1024])"
"Layer 722: model.vision_tower.vision_tower.vision_model.encoder.layers.22.self_attn.v_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 723: model.vision_tower.vision_tower.vision_model.encoder.layers.22.self_attn.v_proj.bias, Size: torch.Size([1024])"
"Layer 724: model.vision_tower.vision_tower.vision_model.encoder.layers.22.self_attn.q_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 725: model.vision_tower.vision_tower.vision_model.encoder.layers.22.self_attn.q_proj.bias, Size: torch.Size([1024])"
"Layer 726: model.vision_tower.vision_tower.vision_model.encoder.layers.22.self_attn.out_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 727: model.vision_tower.vision_tower.vision_model.encoder.layers.22.self_attn.out_proj.bias, Size: torch.Size([1024])"
"Layer 728: model.vision_tower.vision_tower.vision_model.encoder.layers.22.layer_norm1.weight, Size: torch.Size([1024])"
"Layer 729: model.vision_tower.vision_tower.vision_model.encoder.layers.22.layer_norm1.bias, Size: torch.Size([1024])"
"Layer 730: model.vision_tower.vision_tower.vision_model.encoder.layers.22.mlp.fc1.weight, Size: torch.Size([4096, 1024])"
"Layer 731: model.vision_tower.vision_tower.vision_model.encoder.layers.22.mlp.fc1.bias, Size: torch.Size([4096])"
"Layer 732: model.vision_tower.vision_tower.vision_model.encoder.layers.22.mlp.fc2.weight, Size: torch.Size([1024, 4096])"
"Layer 733: model.vision_tower.vision_tower.vision_model.encoder.layers.22.mlp.fc2.bias, Size: torch.Size([1024])"
"Layer 734: model.vision_tower.vision_tower.vision_model.encoder.layers.22.layer_norm2.weight, Size: torch.Size([1024])"
"Layer 735: model.vision_tower.vision_tower.vision_model.encoder.layers.22.layer_norm2.bias, Size: torch.Size([1024])"
"Layer 736: model.vision_tower.vision_tower.vision_model.encoder.layers.23.self_attn.k_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 737: model.vision_tower.vision_tower.vision_model.encoder.layers.23.self_attn.k_proj.bias, Size: torch.Size([1024])"
"Layer 738: model.vision_tower.vision_tower.vision_model.encoder.layers.23.self_attn.v_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 739: model.vision_tower.vision_tower.vision_model.encoder.layers.23.self_attn.v_proj.bias, Size: torch.Size([1024])"
"Layer 740: model.vision_tower.vision_tower.vision_model.encoder.layers.23.self_attn.q_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 741: model.vision_tower.vision_tower.vision_model.encoder.layers.23.self_attn.q_proj.bias, Size: torch.Size([1024])"
"Layer 742: model.vision_tower.vision_tower.vision_model.encoder.layers.23.self_attn.out_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 743: model.vision_tower.vision_tower.vision_model.encoder.layers.23.self_attn.out_proj.bias, Size: torch.Size([1024])"
"Layer 744: model.vision_tower.vision_tower.vision_model.encoder.layers.23.layer_norm1.weight, Size: torch.Size([1024])"
"Layer 745: model.vision_tower.vision_tower.vision_model.encoder.layers.23.layer_norm1.bias, Size: torch.Size([1024])"
"Layer 746: model.vision_tower.vision_tower.vision_model.encoder.layers.23.mlp.fc1.weight, Size: torch.Size([4096, 1024])"
"Layer 747: model.vision_tower.vision_tower.vision_model.encoder.layers.23.mlp.fc1.bias, Size: torch.Size([4096])"
"Layer 748: model.vision_tower.vision_tower.vision_model.encoder.layers.23.mlp.fc2.weight, Size: torch.Size([1024, 4096])"
"Layer 749: model.vision_tower.vision_tower.vision_model.encoder.layers.23.mlp.fc2.bias, Size: torch.Size([1024])"
"Layer 750: model.vision_tower.vision_tower.vision_model.encoder.layers.23.layer_norm2.weight, Size: torch.Size([1024])"
"Layer 751: model.vision_tower.vision_tower.vision_model.encoder.layers.23.layer_norm2.bias, Size: torch.Size([1024])"
"Layer 752: model.vision_tower.vision_tower.vision_model.post_layernorm.weight, Size: torch.Size([1024])"
"Layer 753: model.vision_tower.vision_tower.vision_model.post_layernorm.bias, Size: torch.Size([1024])"
"Layer 754: model.mm_projector.0.weight, Size: torch.Size([5120, 1024])"
"Layer 755: model.mm_projector.0.bias, Size: torch.Size([5120])"
"Layer 756: model.mm_projector.2.weight, Size: torch.Size([5120, 5120])"
"Layer 757: model.mm_projector.2.bias, Size: torch.Size([5120])"
"Layer 758: lm_head.weight, Size: torch.Size([32000, 5120])"
